federal	<div style='font-size:0.95em;color:#555'>/ˈfedərəl/</div><b>a.</b> 联邦的；联邦制的；联合的<div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>U.S. <u>Federal</u> Office of Science and Technology Policy</i><br><span style='color:#666'>美国联邦科技政策办公室</span></div><div style='font-size:0.8em;color:#999;margin-top:4px'>真题频次: 37 (2010-2024)</div>	Day1 必背 高频
address	<div style='font-size:0.95em;color:#555'>/əˈdres/</div><b>n.</b> 地址；致词<br><b style='color:#c00'>v. 处理，应对；致辞，向…讲话（熟词僻义）</b><br><span style='color:#888'>真题考点: address the issue/problem = 处理问题</span><div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>reviewers now must <u>address</u> dozens of dense paragraphs per week</i><br><span style='color:#666'>评审者现在每周必须处理数十段密集的论证段落</span></div><div style='font-size:0.8em;color:#999;margin-top:4px'>真题频次: 20 (2010-2024)</div>	Day1 必背 熟词僻义
paragraph	<div style='font-size:0.95em;color:#555'>/ˈpærəɡrɑːf/</div><b>n.</b> 段落；段；小新闻，短评<div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>a single misjudged <u>paragraph</u> can derail a researcher's career</i><br><span style='color:#666'>一个判断失误的段落能使研究者的职业生涯脱轨</span></div><div style='font-size:0.8em;color:#999;margin-top:4px'>真题频次: 116 (2010-2024)</div>	Day1 必背 超高频
congress	<div style='font-size:0.95em;color:#555'>/ˈkɒŋɡres/</div><b>n.</b> （代表）大会；（美国等国的）国会，议会<div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i><u>Congress</u> held a brief hearing on the matter last year</i><br><span style='color:#666'>国会去年就此事举行了一场简短的听证会</span></div><div style='font-size:0.8em;color:#999;margin-top:4px'>真题频次: 19 (2010-2024)</div>	Day1 必背 错词
court	<div style='font-size:0.95em;color:#555'>/kɔːt/</div><b>n.</b> 法院，法庭；宫廷，朝廷；庭院；球场<div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>the <u>court</u> of public opinion has noticed</i><br><span style='color:#666'>舆论的『法庭』也注意到了这一点</span></div><div style='font-size:0.8em;color:#999;margin-top:4px'>真题频次: 60 (2010-2024)</div>	Day1 必背 高频
accord	<div style='font-size:0.95em;color:#555'>/əˈkɔːd/</div><b>n./v.</b> 一致，符合；给予<br><span style='color:#888'>固定搭配: <b>in accord with</b> = 与…一致 / 符合</span><br><span style='color:#888'>反义: at odds with = 不一致</span><div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>the remaining authors are seldom in <u>accord</u> with the journal's verdict</i><br><span style='color:#666'>剩下的作者与期刊的裁决很少达成一致</span></div><div style='font-size:0.8em;color:#999;margin-top:4px'>真题频次: 64 (2010-2024)</div>	Day1 必背 错词 高频 搭配
blank	<div style='font-size:0.95em;color:#555'>/blæŋk/</div><b>a.</b> 空白的；空着的；茫然的<br><b>n.</b> 空白；表格中的空白处<div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>filling the <u>blank</u> that anonymity has long maintained</i><br><span style='color:#666'>填补匿名性长期造成的空白</span></div><div style='font-size:0.8em;color:#999;margin-top:4px'>真题频次: 20 (2010-2024)</div>	Day1 必背
course	<div style='font-size:0.95em;color:#555'>/kɔːs/</div><b>n.</b> 课程，教程；过程；路线，路程；一道菜<br><b>v.</b> 跑过，奔流<div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>a structured training <u>course</u> for reviewers</i><br><span style='color:#666'>为评审者提供的结构化培训课程</span></div><div style='font-size:0.8em;color:#999;margin-top:4px'>真题频次: 18 (2010-2024)</div>	Day1 必背
pipeline	<div style='font-size:0.95em;color:#555'>/ˈpaɪplaɪn/</div><b>n.</b> 管道，输油管；<b>流程，渠道</b>（学术语境常用）<div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>this particular section of the publishing <u>pipeline</u></i><br><span style='color:#666'>出版流程中的这一特定环节</span></div>	Day1 支持词
validity	<div style='font-size:0.95em;color:#555'>/vəˈlɪdəti/</div><b>n.</b> 有效性；正当性；合法性<div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>The traditional model defines <u>validity</u> narrowly</i><br><span style='color:#666'>传统模式对有效性的定义很狭隘</span></div>	Day1 支持词
convene	<div style='font-size:0.95em;color:#555'>/kənˈviːn/</div><b>v.</b> 召集（会议）；集合；开会<div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>A 2023 commission <u>convened</u> by the U.S. Federal Office...</i><br><span style='color:#666'>2023 年由美国联邦机构召集的一个委员会……</span></div>	Day1 支持词
derail	<div style='font-size:0.95em;color:#555'>/diːˈreɪl/</div><b>v.</b> 使出轨；<b>使（计划等）受挫，破坏</b>（喻义高频）<div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>a single misjudged paragraph can <u>derail</u> a researcher's career</i><br><span style='color:#666'>一个判断失误的段落能使研究者的职业生涯脱轨</span></div>	Day1 支持词
prominent	<div style='font-size:0.95em;color:#555'>/ˈprɒmɪnənt/</div><b>a.</b> 突出的；杰出的；显眼的；著名的<div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>when <u>prominent</u> papers are retracted</i><br><span style='color:#666'>当重要（知名）论文被撤稿时</span></div>	Day1 支持词
verdict	<div style='font-size:0.95em;color:#555'>/ˈvɜːdɪkt/</div><b>n.</b> 裁决，判决；定论；意见<div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>seldom in accord with the journal's <u>verdict</u></i><br><span style='color:#666'>与期刊的裁决很少达成一致</span></div>	Day1 支持词
dispute	<div style='font-size:0.95em;color:#555'>/dɪˈspjuːt/</div><b>n./v.</b> 争议，争论，纠纷<div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i><u>disputes</u> occasionally reach actual courts</i><br><span style='color:#666'>争议偶尔会进入真正的法庭</span></div>	Day1 支持词
anonymity	<div style='font-size:0.95em;color:#555'>/ˌænəˈnɪməti/</div><b>n.</b> 匿名（性）；无名<div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>filling the blank that <u>anonymity</u> has long maintained</i><br><span style='color:#666'>填补匿名性长期造成的空白</span></div>	Day1 支持词
mandate	<div style='font-size:0.95em;color:#555'>/ˈmændeɪt/</div><b>v.</b> 强制要求；授权<br><b>n.</b> 授权；命令；任期<div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>The second would <u>mandate</u> a structured training course</i><br><span style='color:#666'>第二种方案会强制要求设立结构化培训课程</span></div>	Day1 支持词
expertise	<div style='font-size:0.95em;color:#555'>/ˌekspɜːˈtiːz/</div><b>n.</b> 专门技能；专业知识<div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>recognize when a topic lies outside their <u>expertise</u></i><br><span style='color:#666'>识别一个主题何时超出了他们的专业知识范围</span></div>	Day1 支持词
