nonetheless	<div style='font-size:0.95em;color:#555'>/ˌnʌnðəˈles/</div><b>ad.</b> 尽管如此，然而<br><span style='color:#888'>= nevertheless · 用于句首或句中，转折但语气比 however 弱</span><div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i><u>Nonetheless</u>, the consensus among researchers is that early data does not support the catastrophe scenario</i><br><span style='color:#666'>尽管如此，研究者的共识是早期数据不支持灾难情景</span></div><div style='font-size:0.8em;color:#999;margin-top:4px'>真题频次: 4 (2010-2024)</div>	Day4 必背
perspective	<div style='font-size:0.95em;color:#555'>/pəˈspektɪv/</div><b>n.</b> 观点；视角；透视法<br><span style='color:#888'>搭配: from the perspective of / put sth in perspective</span><div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>early data, though limited in <u>perspective</u>, does not support the catastrophe scenario</i><br><span style='color:#666'>早期数据虽然视角有限，但不支持灾难情景</span></div><div style='font-size:0.8em;color:#999;margin-top:4px'>真题频次: 12 (2010-2024)</div>	Day4 必背 高频
inherent	<div style='font-size:0.95em;color:#555'>/ɪnˈhɪərənt/</div><b>a.</b> 固有的，内在的<br><span style='color:#888'>搭配: <b>inherent in</b> = 固有于…… · 近: intrinsic</span><div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>whether UBI addresses an <u>inherent</u> flaw in capitalism</i><br><span style='color:#666'>UBI 是否解决了资本主义的固有缺陷</span></div><div style='font-size:0.8em;color:#999;margin-top:4px'>真题频次: 5 (2010-2024)</div>	Day4 必背 搭配
supplement	<div style='font-size:0.95em;color:#555'>n. /ˈsʌplɪmənt/ · v. /ˈsʌplɪment/</div><b>n.</b> 补充物；增刊<br><b>v.</b> 补充，增补<br><span style='color:#888'>搭配: dietary supplement = 膳食补充剂 / supplement income = 补贴收入</span><div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>merely <u>supplements</u> a broken system</i><br><span style='color:#666'>只是在补充一个已经坏掉的系统</span></div><div style='font-size:0.8em;color:#999;margin-top:4px'>真题频次: 3 (2010-2024)</div>	Day4 必背
virtue	<div style='font-size:0.95em;color:#555'>/ˈvɜːtʃuː/</div><b>n.</b> 美德；优点；长处<br><span style='color:#888'>搭配: <b>by virtue of</b> = 凭借，由于 · 反: vice</span><div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>Philosophers — whose <u>virtue</u> lies in asking uncomfortable questions</i><br><span style='color:#666'>哲学家——其长处在于提出令人不安的问题</span></div><div style='font-size:0.8em;color:#999;margin-top:4px'>真题频次: 4 (2010-2024)</div>	Day4 必背 搭配
elaborate	<div style='font-size:0.95em;color:#555'><b>a.</b> /ɪˈlæbərət/<br><b>v.</b> /ɪˈlæbəreɪt/</div><b>a.</b> 精心制作的，精巧的<br><b>v.</b> 详述，阐述（on）<br><b style='color:#c00'>词性双发音：a. 尾 /ət/ 弱 · v. 尾 /eɪt/ 强（同 advocate 模式）</b><div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>have long <u>elaborated</u> on this tension</i><br><span style='color:#666'>长期以来一直在详述这种张力</span></div><div style='font-size:0.8em;color:#999;margin-top:4px'>真题频次: 3 (2010-2024)</div>	Day4 必背 双发音 错词
oblige	<div style='font-size:0.95em;color:#555'>/əˈblaɪdʒ/</div><b>v.</b> 迫使；使感激<br><span style='color:#888'>搭配: <b>be obliged to do</b> = 被迫做/不得不做 · <b>be obliged (to sb)</b> = 感激某人<br>派生: obligation n. 义务</span><div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>automation <u>obliges</u> society to rethink the link between labor and dignity</i><br><span style='color:#666'>自动化迫使社会重新思考劳动与尊严之间的联系</span></div><div style='font-size:0.8em;color:#999;margin-top:4px'>真题频次: 3 (2010-2024)</div>	Day4 必背
implement	<div style='font-size:0.95em;color:#555'>/ˈɪmplɪment/</div><b>v.</b> 实施，执行<br><b>n.</b> 工具，器具<br><span style='color:#888'>派生: implementation n. 实施</span><div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>the government would need to <u>implement</u> it carefully</i><br><span style='color:#666'>政府需要谨慎地实施它</span></div><div style='font-size:0.8em;color:#999;margin-top:4px'>真题频次: 7 (2010-2024)</div>	Day4 必背
census	<div style='font-size:0.95em;color:#555'>/ˈsensəs/</div><b>n.</b> 人口普查；统计调查<br><span style='color:#888'>搭配: national census / conduct a census</span><div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>perhaps through a national <u>census</u> of household needs</i><br><span style='color:#666'>也许通过一次全国性的家庭需求普查</span></div><div style='font-size:0.8em;color:#999;margin-top:4px'>真题频次: 2 (2010-2024)</div>	Day4 必背
impose	<div style='font-size:0.95em;color:#555'>/ɪmˈpəʊz/</div><b>v.</b> 强加；征收（税等）；推行<br><span style='color:#888'>搭配: <b>impose on/upon</b> = 强加于 · impose a ban/fine/tax</span><div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i><u>imposing</u> a flat sum that ignores regional variation</i><br><span style='color:#666'>强加一个忽略地区差异的固定金额</span></div><div style='font-size:0.8em;color:#999;margin-top:4px'>真题频次: 8 (2010-2024)</div>	Day4 必背 高频 搭配
spark	<div style='font-size:0.95em;color:#555'>/spɑːk/</div><b>v.</b> 引发，触发<br><b>n.</b> 火花；闪光<br><span style='color:#888'>搭配: spark debate/controversy/interest</span><div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>has <u>sparked</u> profound debate across Western democracies</i><br><span style='color:#666'>在西方民主国家引发了深刻的辩论</span></div>	Day4 支持词
democracy	<div style='font-size:0.95em;color:#555'>/dɪˈmɒkrəsi/</div><b>n.</b> 民主；民主国家<br><span style='color:#888'>派生: democratic a. / democrat n.</span><div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>across Western <u>democracies</u></i><br><span style='color:#666'>在各西方民主国家</span></div>	Day4 支持词
guarantee	<div style='font-size:0.95em;color:#555'>/ˌɡærənˈtiː/</div><b>v.</b> 保证，担保<br><b>n.</b> 保证；担保（书）<br><span style='color:#888'>搭配: guarantee + that 从句 / guarantee sth</span><div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>a <u>guaranteed</u> monthly payment would sustain millions</i><br><span style='color:#666'>有保障的月度付款能维持数百万人的生活</span></div>	Day4 支持词
downturn	<div style='font-size:0.95em;color:#555'>/ˈdaʊntɜːn/</div><b>n.</b> （经济）衰退，低迷<br><span style='color:#888'>近: recession / slump · 反: upturn / boom</span><div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>through economic <u>downturns</u></i><br><span style='color:#666'>度过经济低迷期</span></div>	Day4 支持词
idleness	<div style='font-size:0.95em;color:#555'>/ˈaɪdlnəs/</div><b>n.</b> 懒惰；闲散<br><span style='color:#888'>词根: idle a. 闲置的，懒散的</span><div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>it would yield mass <u>idleness</u></i><br><span style='color:#666'>它会产生大规模的懒惰</span></div>	Day4 支持词
ethic	<div style='font-size:0.95em;color:#555'>/ˈeθɪk/</div><b>n.</b> 伦理；道德准则<br><span style='color:#888'>搭配: work ethic = 职业道德 · 派生: ethical a.</span><div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>erode the work <u>ethic</u> that legitimate economies depend upon</i><br><span style='color:#666'>侵蚀合法经济体所依赖的职业道德</span></div>	Day4 支持词
reveal	<div style='font-size:0.95em;color:#555'>/rɪˈviːl/</div><b>v.</b> 揭示；显示；透露<br><span style='color:#888'>近: disclose / uncover · 反: conceal / hide</span><div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>others <u>reveal</u> that without constraints, recipients simply consume more</i><br><span style='color:#666'>其他试点揭示了没有约束时接受者只是消费更多</span></div>	Day4 支持词
portion	<div style='font-size:0.95em;color:#555'>/ˈpɔːʃn/</div><b>n.</b> 部分；一份<br><span style='color:#888'>近: part / share / proportion</span><div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>a <u>portion</u> of recipients simply consume more</i><br><span style='color:#666'>一部分接受者只是消费更多</span></div>	Day4 支持词
recipient	<div style='font-size:0.95em;color:#555'>/rɪˈsɪpiənt/</div><b>n.</b> 接受者，接收人<br><span style='color:#888'>搭配: the recipient of an award/letter/payment</span><div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>a portion of <u>recipients</u> simply consume more</i><br><span style='color:#666'>一部分接受者只是消费更多</span></div>	Day4 支持词
consume	<div style='font-size:0.95em;color:#555'>/kənˈsjuːm/</div><b>v.</b> 消费；消耗；吃喝<br><span style='color:#888'>派生: consumer n. 消费者 / consumption n. 消费</span><div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>recipients simply <u>consume</u> more</i><br><span style='color:#666'>接受者只是消费更多</span></div>	Day4 支持词
catastrophe	<div style='font-size:0.95em;color:#555'>/kəˈtæstrəfi/</div><b>n.</b> 灾难；大祸<br><span style='color:#888'>派生: catastrophic a. 灾难性的</span><div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>does not support the <u>catastrophe</u> scenario</i><br><span style='color:#666'>不支持灾难情景</span></div>	Day4 支持词
scenario	<div style='font-size:0.95em;color:#555'>/sɪˈnɑːriəʊ/</div><b>n.</b> 情景；方案；剧本<br><span style='color:#888'>搭配: worst-case scenario = 最坏情况</span><div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>does not support the catastrophe <u>scenario</u></i><br><span style='color:#666'>不支持灾难情景</span></div>	Day4 支持词
flaw	<div style='font-size:0.95em;color:#555'>/flɔː/</div><b>n.</b> 缺陷；瑕疵<br><span style='color:#888'>派生: flawed a. 有缺陷的 · 近: defect / fault</span><div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>addresses an inherent <u>flaw</u> in capitalism</i><br><span style='color:#666'>解决资本主义的固有缺陷</span></div>	Day4 支持词
capitalism	<div style='font-size:0.95em;color:#555'>/ˈkæpɪtəlɪzəm/</div><b>n.</b> 资本主义<br><span style='color:#888'>派生: capitalist n./a. · 反: socialism</span><div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>an inherent flaw in <u>capitalism</u></i><br><span style='color:#666'>资本主义的固有缺陷</span></div>	Day4 支持词
philosopher	<div style='font-size:0.95em;color:#555'>/fɪˈlɒsəfə/</div><b>n.</b> 哲学家<br><span style='color:#888'>派生: philosophy n. / philosophical a.</span><div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i><u>Philosophers</u> — whose virtue lies in asking uncomfortable questions</i><br><span style='color:#666'>哲学家——其长处在于提出令人不安的问题</span></div>	Day4 支持词
tension	<div style='font-size:0.95em;color:#555'>/ˈtenʃn/</div><b>n.</b> 紧张；张力；矛盾<br><span style='color:#888'>搭配: ease/heighten tension</span><div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>have long elaborated on this <u>tension</u></i><br><span style='color:#666'>长期以来一直在详述这种张力/矛盾</span></div>	Day4 支持词
automation	<div style='font-size:0.95em;color:#555'>/ˌɔːtəˈmeɪʃn/</div><b>n.</b> 自动化<br><span style='color:#888'>派生: automate v. / automatic a.</span><div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i><u>automation</u> obliges society to rethink the link between labor and dignity</i><br><span style='color:#666'>自动化迫使社会重新思考劳动与尊严之间的联系</span></div>	Day4 支持词
structural	<div style='font-size:0.95em;color:#555'>/ˈstrʌktʃərəl/</div><b>a.</b> 结构的；结构性的<br><span style='color:#888'>派生: structure n./v.</span><div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>a basic income may be not a compromise but a <u>structural</u> necessity</i><br><span style='color:#666'>基本收入可能不是妥协而是结构性的必要</span></div>	Day4 支持词
regional	<div style='font-size:0.95em;color:#555'>/ˈriːdʒənl/</div><b>a.</b> 地区的，区域的<br><span style='color:#888'>派生: region n. 地区</span><div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>ignores <u>regional</u> variation</i><br><span style='color:#666'>忽视地区差异</span></div>	Day4 支持词
variation	<div style='font-size:0.95em;color:#555'>/ˌveəriˈeɪʃn/</div><b>n.</b> 变化；差异；变体<br><span style='color:#888'>派生: vary v. / variable a./n. / various a.</span><div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>a flat sum that ignores regional <u>variation</u></i><br><span style='color:#666'>忽略地区差异的固定金额</span></div>	Day4 支持词
speculation	<div style='font-size:0.95em;color:#555'>/ˌspekjuˈleɪʃn/</div><b>n.</b> 推测；投机<br><span style='color:#888'>动词: speculate · 搭配: mere speculation = 纯属推测</span><div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>both sides must move beyond <u>speculation</u></i><br><span style='color:#666'>双方必须超越推测</span></div>	Day4 支持词
agency	<div style='font-size:0.95em;color:#555'>/ˈeɪdʒənsi/</div><b>n.</b> 代理机构；<b>能动性，主观能动作用</b><br><span style='color:#888'>考研常考僻义：individual agency = 个人能动性（非"中介"）</span><div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>does not <u>diminish</u> individual <u>agency</u></i><br><span style='color:#666'>不会削弱个人能动性</span></div>	Day4 支持词 熟词僻义
vulnerable	<div style='font-size:0.95em;color:#555'>/ˈvʌlnərəbl/</div><b>a.</b> 脆弱的；易受伤害的<br><span style='color:#888'>搭配: vulnerable to = 易受……的伤害 · 派生: vulnerability n.</span><div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>or <u>neglect</u> the most <u>vulnerable</u></i><br><span style='color:#666'>或忽视最脆弱的群体</span></div>	Day4 支持词
vague	<div style='font-size:0.95em;color:#555'>/veɪɡ/</div><b>a.</b> 不明确的，模糊的，含糊的<br><span style='color:#888'>反: clear / specific / definite<br><b style='color:#c00'>Day3 D-1 抽查未记住，加权复习</b></span><div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>the field remains stubbornly <u>vague</u></i><br><span style='color:#666'>这一领域仍顽固地含糊不清</span></div>	Day3 错词 加权
coherent	<div style='font-size:0.95em;color:#555'>/kəʊˈhɪərənt/</div><b>a.</b> 连贯的；一致的；条理清楚的<br><span style='color:#888'>≠ continuous（连续的）· 反: incoherent<br><b style='color:#c00'>Day3 D-1 答"连续"——错！coherent = 条理清楚，不是"不断的"</b></span><div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>A <u>coherent</u> framework must rest on three pillars</i><br><span style='color:#666'>一个条理清楚的框架必须建立在三大支柱上</span></div>	Day3 错词 加权
plausible	<div style='font-size:0.95em;color:#555'>/ˈplɔːzəbl/</div><b>a.</b> 似乎合理的；似可信的（但未必真的合理）<br><span style='color:#888'>反: implausible · 近: convincing / credible<br><b style='color:#c00'>Day3 D-1 空白未答，加权复习</b></span><div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>voluntary codes that, while <u>plausible</u> on paper, are easy to neglect</i><br><span style='color:#666'>纸面上似乎合理的自愿准则，实践中容易被忽视</span></div>	Day3 错词 加权
articulate	<div style='font-size:0.95em;color:#555'><b>a.</b> /ɑːˈtɪkjələt/ · <b>v.</b> /ɑːˈtɪkjuleɪt/</div><b>a.</b> 善于表达的<br><b>v.</b> 清楚地阐述，明确表达<br><b style='color:#c00'>Day3 D-1 只记住形容词义，动词义"清楚阐述"未掌握</b><div style='margin-top:8px;padding:6px;background:#f6f6f6;border-left:3px solid #4a90d9'><i>failing to <u>articulate</u> clear lines between research and harm</i><br><span style='color:#666'>未能清楚阐述研究与危害之间的界限</span></div>	Day3 错词 双发音 加权
